PROVINCE,LOCATION,YEAR,SITE_NAME,SITE_TYPE,LONGITUDE,LATITUDE,VARIABLE,VALUE,UNIT,COLOR
Northwest Territories,arctic,2002,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.048,mg/L,#1f77b4
Northwest Territories,arctic,2002,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,9.899999999999999,mg/L,#1f77b4
Northwest Territories,arctic,2002,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,6.0,°C,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,8.36,PH,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.004,mg/L,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,7.96,mg/L,#1f77b4
Northwest Territories,arctic,2003,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Water Temperature,9.3,°C,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,pH,7.840000000000001,PH,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Phosphorus,0.01,mg/L,#1f77b4
Northwest Territories,arctic,2004,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVER/RIVIÈRE,-121.9633,68.3308,Dissolved Sulphate,5.843333333333334,mg/L,#1f77b4
